kyu,waza,taijutsu,embeded,disco_tissier,otro
2,tachi waza,kata dori ikkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=H8gR1Kdzd2CNm-z3&amp;clip=UgkxHNBwe4wi8HTo6S-p7E9TZK1u6fzCgsTL&amp;clipt=EPb_Lxi72DE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=785,
2,tachi waza,kata dori ikkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=Ta946MSLwVB5PmQv&amp;clip=UgkxYmtaVFA-CUaVQN-YarPIIZN0S__t4R41&amp;clipt=EIfiLRiw_y8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=750,
2,tachi waza,tsuki kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/ZA3MyX2y-Rk?si=kixpzpvJJU9isaIK&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
2,tachi waza,morote dori ikkyo ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/LgIcPJYY9Qs?si=98cTgUOnDw3xY7nV&amp;clip=UgkxYslriiCeSa6KcTnd4JgvW7lCD79j9zOU&amp;clipt=ENi1BRiahwY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori kokyu nage,,,
2,tachi waza,kata dori nikyo omote ,,,
2,tachi waza,kata dori nikyo ura ,,,
2,tachi waza,kata dori sankyo omote ,,,
2,tachi waza,kata dori sankyo ura ,,,
2,tachi waza,kata dori yonkyo omote ,,,
2,tachi waza,kata dori yonkyo ura ,,,
2,tachi waza,katate dori (libre),,,
2,tachi waza,morote dori kokyu nage,,,
2,tachi waza,morote dori nikyo ura,,,
2,tachi waza,tsuki irimi nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=EgsMebz5xwwGdybj&amp;clip=Ugkxq5GWMrMvLAwKPdbwKEfL-OofI8CPxMQD&amp;clipt=EK7YShjCh00"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1223,
1,hammi handachi,ryote dori shiho nage ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/8UxI1IgZ2sw?si=ybsepTy1hx_qH-Qe&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
1,hammi handachi,ryote dori shiho nage omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/nfgQVbifof0?si=VFE18xMOp9m4Ngej&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
1,hammi handachi,katate dori shiho nage ura        ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Z4Hb13xtn6k?si=7TGvuCMM_xMqq0B_&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
1,hammi handachi,katate dori kaiten nage omote a ura,,,
1,hammi handachi,katate dori kokyu nage omote a ura,,,
1,hammi handachi,yokomen uchi kokyu nage omote a ura,,,
1,tachi waza,katate dori ikkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=kFz0SR379gEYpbSz&amp;clip=UgkxvZRAxTo3x0CA0u56fLtOipNmhMf0IA9C&amp;clipt=EMWLKRiQsSo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=672,
1,tachi waza,katate dori ikkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=KS_NsebaKqJ-WZbY&amp;clip=UgkxzAUKQUBOtkHNwf5MFych5UOSLti5isTt&amp;clipt=EMCdJxjlgik"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=642,
1,tachi waza,ushiro ryote dori ikkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PWEZfhmkt4I?si=dI5W6-4inJjAKWaC&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=947,
1,tachi waza,ushiro ryote dori ikkyo ura	 ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/tOMmKf9N_-g?si=XF63LAGVOBU4wvlW&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=980,
1,tachi waza,katate dori koshi nage,,,
1,tachi waza,katate dori nikyo omote ,,,
1,tachi waza,katate dori nikyo ura ,,,
1,tachi waza,katate dori sankyo omote ,,,
1,tachi waza,katate dori sankyo ura ,,,
1,tachi waza,katate dori yonkyo omote ,,,
1,tachi waza,katate dori yonkyo ura ,,,
